Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
Lenteja pardina Luengo bolsa 1 Kg,ArrozPastasLegumbres,"2,55 €",https://www.dia.es/product_images/189343/189343_ISO_0_ES.jpg?imwidth=176,281kcal,"2,1g",23g,23g,0.0,0g,0.0,Día,Alimentos Básicos
Berlina biscuit con cobertura blanca y trozos de galleta rellena de crema de galleta,Bollería de horno,"1,25 €",img_mercadona\Bollería_de_horno\Bollería_dulce\Berlina_biscuit_con_cobertura_blanca_y_trozos_de_galleta_rellena_de_crema_de_galleta_20.jpg,216.0,13.0,21.0,4.0,0.79,0.54,37.63,Mercadona,Dulces y Snacks
Yogur griego con fresa Fidias de Dia pack 6 x 125 g,YoguresPostres,"1,80 €",https://www.dia.es/product_images/135291/135291_ISO_0_ES.jpg?imwidth=176,129kcal,"7,5g","11,9g","2,8g",0.0,"0,1g",0.0,Día,Lácteos y Huevos
Tira de costilla de cerdo envasada al vacío Selección de Dia bolsa 900 g aprox.,Carniceria,"6,11 €",https://www.dia.es/product_images/134262/134262_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Carnes y Pescados
Infusión de propóleo y equinácea Pompadour caja 15 unidades,CafeCacaoInfusiones,"2,95 €",https://www.dia.es/product_images/301808/301808_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Migas de bacalao dorado con cebolla y patatas paja Hacendado congelado,Pescado (congelados),"2,60 €",img_mercadona\Pescado_(congelados)\Pescado\Migas_de_bacalao_dorado_con_cebolla_y_patatas_paja_Hacendado_congelado_30.jpg,311.0,15.0,35.0,7.5,0.63,0.33,0.16,Mercadona,Carnes y Pescados
Chicles sabor eucalipto sin azúcar Orbit bolsa 5 unidades,AzucarChocolatesCaramelos,"3,69 €",https://www.dia.es/product_images/65607/65607_ISO_0_ES.jpg?imwidth=176,148kcal,0g,"61,7g",0g,0.0,0g,0.0,Día,Dulces y Snacks
ATLANTICO Berberechos 45/55 58 g.,Conservas de Pescado,"7,69 €",img_alcampo/Conservas de Pescado\ATLANTICO_Berberechos_45-55_58_g._106.jpg,294,14.2,22.1,13.8,0.0,0.3,6.6,Alcampo,Alimentos Procesados
Preparado de carne picada de cerdo Selección de Dia bandeja 500 g,Carniceria,"2,99 €",https://www.dia.es/product_images/261238/261238_ISO_0_ES.jpg?imwidth=176,212kcal,16g,1g,16g,0.0,"0,4g",0.0,Día,Carnes y Pescados
CALVO Atún en escabeche lata de 160 g.,Conservas de Pescado,"1,50 €",img_alcampo/Conservas de Pescado\CALVO_Atún_en_escabeche_lata_de_160_g._124.jpg,265,14.3,18.0,10.7,0.0,0.5,0.1,Alcampo,Alimentos Procesados
Comino en grano Vegecampo de Dia frasco 50 g,AceitesSalsasEspecias,"1,74 €",https://www.dia.es/product_images/297204/297204_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Alimentos Básicos
Banderillas gildas Hacendado pinchos de anchoa,Aceitunas y encurtidos,"2,25 €",img_mercadona\Aceitunas_y_encurtidos\Cóctel_y_banderillas\Banderillas_gildas_Hacendado_pinchos_de_anchoa_3.jpg,190.07,18.84,0.95,2.29,0.0,1.48,0.67,Mercadona,Alimentos Básicos
BELMONTE Filetes de anchoa del Cantábrico en aceite de oliva MSC (Pesca sostenible certificada) BELMONTE GOURMET 60 G,ahumados_surimis_anchoas_pulpos_otros,"8,55 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\BELMONTE_Filetes_de_anchoa_del_Cantábrico_en_aceite_de_oliva_MSC_(Pesca_sostenible_certificada)_BELMONTE_GOURMET_60_G_25.jpg,242,5.4,29.5,19.6,0.0,0.6,3.7,Alcampo,Carnes y Pescados
CAMPOFRÍO Pechuga de pavo braseada cortada en finas lonchas CAMPOFRÍO Finissimas 170 g.,Charcuteria,"2,88 €",img_alcampo/Charcuteria\CAMPOFRÍO_Pechuga_de_pavo_braseada_cortada_en_finas_lonchas_CAMPOFRÍO_Finissimas_170_g._102.jpg,253,17.9,25.1,16.4,0.0,0.6,3.6,Alcampo,Carnes y Pescados
