Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado
AUCHAN Salmón marinado 80 g. Producto Alcampo,ahumados_surimis_anchoas_pulpos_otros,"0,71 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\AUCHAN_Salmón_marinado_80_g._Producto_Alcampo_121.jpg,125,10.1,7.1,22.6,0.0,0.2,3.9,Alcampo
Figuras de chocolate festive friends Kit Kat bolsa 147 g,AzucarChocolatesCaramelos,"3,99 €",https://www.dia.es/product_images/144057/144057_ISO_0_ES.jpg?imwidth=176,535kcal,31g,56g,"6,3g",0.0,"0,24g",0.0,Día
Pan tostado con sésamo Wasa paquete 200 g,PanesHarinasMasas,"2,59 €",https://www.dia.es/product_images/273808/273808_ISO_0_ES.jpg?imwidth=176,401kcal,"9,5g","62,2g","12,8g",0.0,0,0.0,Día
Dorada mostrador - Espalda con espinas,pescados_mariscos_moluscos,"5,37 €",img_alcampo/pescados_mariscos_moluscos\Dorada_mostrador_-_Espalda_con_espinas_21.jpg,205,19.0,27.5,24.5,0.0,1.3,0.9,Alcampo
Café molido mezcla Saimaza bolsa 500 g,CafeCacaoInfusiones,"6,09 €",https://www.dia.es/product_images/290659/290659_ISO_0_ES.jpg?imwidth=176,332kcal,12g,16g,17g,0.0,"0,02g",0.0,Día
"Cerveza 0,0% sin alcohol Falke",Cerveza sin alcohol,"0,35 €","img_mercadona\Cerveza_sin_alcohol\Cerveza_botella_y_botellín\Cerveza_0,0%_sin_alcohol_Falke_3.jpg",179.68,6.74,20.81,8.41,0.35,0.05,3.29,Mercadona
Cilantro bandeja 20 g,Verduras,"1,19 €",https://www.dia.es/product_images/233088/233088_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día
"SAM MILLS High protein Espirales sin gluten, 40% de proteína, 250 g.",Pasta Alimenticia,"1,65 €","img_alcampo/Pasta Alimenticia\SAM_MILLS_High_protein_Espirales_sin_gluten,_40%_de_proteína,_250_g._198.jpg",132,18.7,16.8,26.9,0.0,1.5,0.6,Alcampo
AUCHAN Yogur desnatado (0.0% materia grasa) natural edulcorado 4 x 125 g. Producto Alcampo,Yogures,"1,44 €",img_alcampo/Yogures\AUCHAN_Yogur_desnatado_(0.0%_materia_grasa)_natural_edulcorado_4_x_125_g._Producto_Alcampo_144.jpg,235,16.8,5.3,15.6,0.0,0.9,5.7,Alcampo
Malta Maltín Polar,Isotónico y energético,"1,25 €",img_mercadona\Isotónico_y_energético\Energético\Malta_Maltín_Polar_19.jpg,31.33,0.0,7.33,0.0,0.01,0.15,23.26,Mercadona
Tomate pera,Verdura,"0,23 €",img_mercadona\Verdura\Tomate\Tomate_pera_2.jpg,49.04,0.6,8.98,1.77,2.05,0.09,2.03,Mercadona
Jamón gran reserva 8 Kg,CharcuteriaQuesos,"85,00 €",https://www.dia.es/product_images/226880/226880_ISO_0_ES.jpg?imwidth=176,300kcal,20g,"0,1g","29,8g",0.0,"2,8g",0.0,Día
AUCHAN Yogur natural 4 x 125 g. Producto Alcampo,Yogures,"1,44 €",img_alcampo/Yogures\AUCHAN_Yogur_natural_4_x_125_g._Producto_Alcampo_283.jpg,210,9.2,10.2,14.0,0.0,1.4,1.1,Alcampo
Batido de chocolate Hacendado 0% sin azúcares añadidos,Leche y bebidas vegetales,"1,85 €",img_mercadona\Leche_y_bebidas_vegetales\Batidos\Batido_de_chocolate_Hacendado_0%_sin_azúcares_añadidos_10.jpg,58.38,0.64,5.8,8.32,0.51,0.23,11.42,Mercadona
Pasta fresca tortellini jamón y queso Hacendado,Pasta y fideos,"1,76 €",img_mercadona\Pasta_y_fideos\Pasta_rellena\Pasta_fresca_tortellini_jamón_y_queso_Hacendado_8.jpg,309.17,3.22,56.14,12.61,4.38,0.96,2.03,Mercadona
Medio conejo troceado,Conejo y cordero,"5,49 €",img_mercadona\Conejo_y_cordero\Conejo\Medio_conejo_troceado_0.jpg,133.0,5.74,3.0,20.25,0.2,0.69,0.97,Mercadona
Anchoas en aceite de oliva MSC Mari Marinera de Dia lata 50 g,PescadosMariscosAhumados,"3,89 €",https://www.dia.es/product_images/184569/184569_ISO_0_ES.jpg?imwidth=176,213kcal,11g,"0,6g",28g,0.0,13g,0.0,Día
ANGOMAR Bacalao salado palitos ANGOMAR 300 g.,ahumados_surimis_anchoas_pulpos_otros,"9,99 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\ANGOMAR_Bacalao_salado_palitos_ANGOMAR_300_g._94.jpg,281,6.4,15.9,26.5,0.0,0.6,5.8,Alcampo
"TGT Queso rallado en polvo, especial para pasta TGT 100 g.",Quesos,"1,14 €","img_alcampo/Quesos\TGT_Queso_rallado_en_polvo,_especial_para_pasta_TGT_100_g._166.jpg",279,7.2,12.3,19.4,0.0,0.9,9.0,Alcampo
Varitas de merluza MSC Mari Marinera de Dia caja 450 g,Congelados,"3,99 €",https://www.dia.es/product_images/298633/298633_ISO_0_ES.jpg?imwidth=176,214kcal,11g,17g,13g,0.0,"1,2g",0.0,Día
