Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
Mandarina Torres Selección malla 750 g,Fruta,"2,49 €",https://www.dia.es/product_images/206952/206952_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Frutas y Verduras
Salteado de setas Hacendado ultracongeladas,Verdura (congelados),"1,58 €",img_mercadona\Verdura_(congelados)\Verdura\Salteado_de_setas_Hacendado_ultracongeladas_16.jpg,91.36,2.11,12.64,3.82,1.88,0.14,1.82,Mercadona,Frutas y Verduras
Queso viejo de oveja Hacendado,"Queso curado, semicurado y tierno","5,30 €","img_mercadona\Queso_curado,_semicurado_y_tierno\Queso_curado\Queso_viejo_de_oveja_Hacendado_9.jpg",179.68,6.74,20.81,8.41,0.24,2.36,0.1,Mercadona,Lácteos y Huevos
Atún en aceite de oliva Hacendado,Atún y otras conservas de pescado,"8,00 €",img_mercadona\Atún_y_otras_conservas_de_pescado\Atún\Atún_en_aceite_de_oliva_Hacendado_3.jpg,101.0,0.5,0.5,24.2,0.0,1.14,0.96,Mercadona,Alimentos Procesados
PRODUCTO ALCAMPO Pasta estrellas de calidad superior PRODUCTO ALCAMPO 500 g.,Pasta Alimenticia,"0,77 €",img_alcampo/Pasta Alimenticia\PRODUCTO_ALCAMPO_Pasta_estrellas_de_calidad_superior_PRODUCTO_ALCAMPO_500_g._96.jpg,190,18.9,25.8,14.5,0.0,1.8,6.1,Alcampo,Alimentos Básicos
Crackers integrales de espelta Bachman,Pan tostado y rallado,"1,70 €",img_mercadona\Pan_tostado_y_rallado\Crakers_y_tartaletas\Crackers_integrales_de_espelta_Bachman_0.jpg,274.94,1.5,55.61,8.61,3.78,1.42,1.09,Mercadona,Alimentos Básicos
Corazones de alcachofas aliñadas Exito frasco 170 g,ConservasCaldosCremas,"1,60 €",https://www.dia.es/product_images/289853/289853_ISO_0_ES.jpg?imwidth=176,115kcal,"10,3g","4,9g","1,2g",0.0,"0,62g",0.0,Día,Alimentos Procesados
PRODUCTO ALCAMPO Champiñones enteros lata de 185 g.,Conservas Vegetales,"1,02 €",img_alcampo/Conservas Vegetales\PRODUCTO_ALCAMPO_Champiñones_enteros_lata_de_185_g._32.jpg,135,17.5,2.4,19.1,0.0,0.4,5.3,Alcampo,Alimentos Procesados
Jamón curado gran reserva hembra MILENA LEÓN - Loncha fina 1 mm,Charcuteria,"1,62 €",img_alcampo/Charcuteria\Jamón_curado_gran_reserva_hembra_MILENA_LEÓN_-_Loncha_fina_1_mm_137.jpg,146,12.0,20.1,27.4,0.0,1.1,4.7,Alcampo,Carnes y Pescados
Tortilla de patata con cebolla Listo para Comer,Platos preparados calientes,"8,00 €",img_mercadona\Platos_preparados_calientes\Tortilla\Tortilla_de_patata_con_cebolla_Listo_para_Comer_3.jpg,177.33,5.71,22.05,8.62,3.98,1.73,1.78,Mercadona,Alimentos Procesados
Chocolate negro Temptation de Dia 100 g,AzucarChocolatesCaramelos,"1,00 €",https://www.dia.es/product_images/1553/1553_ISO_0_ES.jpg?imwidth=176,503kcal,31g,49g,6g,0.0,"0,04g",0.0,Día,Dulces y Snacks
